ID,Dry?,Precip1,PotEvap,Precip2,Field Readiness Asses
1,Dry,0.07,0.11,0.09,0.09
2,Dry,0.01,0.24,0,0.07
3,Dry,0,0.05,0.17,0.1
4,Dry,0.13,0.29,0.02,0.05
5,Wet,0.12,0.2,0.13,0.11
6,Wet,0.08,0.13,0.29,0.14
7,Wet,0.22,0.24,0,0.17
8,Wet,0.17,0,0.08,0.12
9,Wet,0.2095,0.054,0.1565,0.11
10,Wet,0.537,0.054,0.1565,0.11
11,Wet,0.2096,0.055,0.1565,0.12
12,Dry,0.06,0.13,0.08,0.08
13,Wet,0.08,0.1,0.1,0.13
14,Wet,0.09,0.09,0.08,0.12
15,Dry,0.05,0.15,0.07,0.11
16,Dry,0.08,0.14,0.6,0.12
17,Dry,0.07,0.29,0.1565,0.11
18,Dry,0.06,0.2,0.1565,0.09
19,Dry,0.07,0.13,0.1565,0.17
20,Wet,0.11,0.24,0.08,0.12
21,Wet,0.13,0,0.02,0.11
22,Wet,0.12,0.054,0.13,0.11
23,Wet,0.06,0.054,0.29,0.12
24,Wet,0.08,0.13,0,0.08
25,Wet,0.09,0.1,0.08,0.13
26,Wet,0.05,0.09,0.1565,0.12
27,Dry,0.8,0.15,0.1565,0.11
28,Wet,0.06,0.14,0.08,0.12
29,Wet,0.08,0.24,0.02,0.15
30,Dry,0.09,0,0.13,0.09
31,Wet,0.05,0.054,0.29,0.09
32,Wet,0.08,0.054,0.09,0.07
33,Dry,0.22,0.11,0,0.1
34,Wet,0.17,0.24,0.17,0.05
35,Wet,0.2095,0.05,0.02,0.11
36,Dry,0.537,0.29,0.13,0.14
37,Dry,0.2096,0.2,0.29,0.13
38,Dry,0.06,0.13,0,0.12
39,Dry,0.08,0.24,0.08,0.11
40,Dry,0.09,0,0,0.12
41,Wet,0.05,0.054,0.08,0.16
42,Wet,0.12,0.054,0.1565,0.17
43,Dry,0.06,,0.1565,0.08
44,Wet,0.11,0.054,0.1565,0.17
45,Wet,0.1,0.11,0.08,0.19
46,Dry,0.7,0.24,0.1,0.06
47,Wet,0.11,0.05,0.08,0.18
48,Dry,0.8,0.29,0.07,0.08
49,Wet,0.11,0.2,0.11,0.19
50,Wet,0.12,0.13,0.13,0.14
